
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.180
  alpha =    3.543    CLtot =    0.460
  beta  =    0.000

  Sref  =    18.00000
  Bref  =    14.80000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.229033         0.467618E-01
    0.0357  0.217390         0.427608E-01
    0.1071  0.194358         0.353802E-01
    0.1786  0.171938         0.288144E-01
    0.2500  0.150313         0.230381E-01
    0.3214  0.129628         0.180202E-01
    0.3929  0.109998         0.137250E-01
    0.4643  0.915150E-01     0.101129E-01
    0.5357  0.742603E-01     0.714139E-02
    0.6071  0.583068E-01     0.476515E-02
    0.6786  0.437264E-01     0.293622E-02
    0.7500  0.305995E-01     0.160394E-02
    0.8214  0.190338E-01     0.714274E-03
    0.8929  0.921436E-02     0.207930E-03
    0.9643  0.159050E-02     0.142547E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.229033        -0.467618E-01
   -0.0357  0.217390        -0.427608E-01
   -0.1071  0.194358        -0.353802E-01
   -0.1786  0.171938        -0.288144E-01
   -0.2500  0.150313        -0.230381E-01
   -0.3214  0.129628        -0.180202E-01
   -0.3929  0.109998        -0.137250E-01
   -0.4643  0.915150E-01    -0.101129E-01
   -0.5357  0.742603E-01    -0.714139E-02
   -0.6071  0.583067E-01    -0.476515E-02
   -0.6786  0.437264E-01    -0.293622E-02
   -0.7500  0.305995E-01    -0.160394E-02
   -0.8214  0.190338E-01    -0.714273E-03
   -0.8929  0.921435E-02    -0.207930E-03
   -0.9643  0.159050E-02    -0.142547E-04
   -1.0000   0.00000          0.00000    
