
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.200
  alpha =    2.000    CLtot =    0.421
  beta  =    0.000

  Sref  =   224.10001
  Bref  =    54.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.291820         0.709752E-01
    0.0357  0.270482         0.639105E-01
    0.1071  0.230649         0.513182E-01
    0.1786  0.195887         0.406003E-01
    0.2500  0.165031         0.315313E-01
    0.3214  0.137282         0.239349E-01
    0.3929  0.112272         0.176641E-01
    0.4643  0.898296E-01     0.125858E-01
    0.5357  0.698714E-01     0.857284E-02
    0.6071  0.523546E-01     0.550158E-02
    0.6786  0.372567E-01     0.324985E-02
    0.7500  0.245668E-01     0.169636E-02
    0.8214  0.142827E-01     0.720159E-03
    0.8929  0.641612E-02     0.200044E-03
    0.9643  0.102996E-02     0.129403E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.291820        -0.709753E-01
   -0.0357  0.270482        -0.639106E-01
   -0.1071  0.230649        -0.513183E-01
   -0.1786  0.195887        -0.406004E-01
   -0.2500  0.165031        -0.315313E-01
   -0.3214  0.137282        -0.239349E-01
   -0.3929  0.112272        -0.176641E-01
   -0.4643  0.898296E-01    -0.125858E-01
   -0.5357  0.698714E-01    -0.857285E-02
   -0.6071  0.523546E-01    -0.550158E-02
   -0.6786  0.372567E-01    -0.324985E-02
   -0.7500  0.245668E-01    -0.169636E-02
   -0.8214  0.142827E-01    -0.720161E-03
   -0.8929  0.641614E-02    -0.200044E-03
   -0.9643  0.102997E-02    -0.129404E-04
   -1.0000   0.00000          0.00000    
