
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.601
  alpha =   -3.240    CLtot =    0.234
  beta  =    0.000

  Sref  =   280.60501
  Bref  =    67.00510
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   0.99999851
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.116275         0.247614E-01
    0.0357  0.110588         0.227282E-01
    0.1071  0.993976E-01     0.189642E-01
    0.1786  0.885873E-01     0.155946E-01
    0.2500  0.781791E-01     0.126054E-01
    0.3214  0.681945E-01     0.998165E-02
    0.3929  0.586532E-01     0.770792E-02
    0.4643  0.495737E-01     0.576798E-02
    0.5357  0.409742E-01     0.414492E-02
    0.6071  0.328741E-01     0.282121E-02
    0.6786  0.252951E-01     0.177854E-02
    0.7500  0.182648E-01     0.997734E-03
    0.8214  0.118236E-01     0.458405E-03
    0.8929  0.604278E-02     0.138153E-03
    0.9643  0.110972E-02     0.994574E-05
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -0.99999851
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.116275        -0.247614E-01
   -0.0357  0.110588        -0.227282E-01
   -0.1071  0.993977E-01    -0.189642E-01
   -0.1786  0.885874E-01    -0.155946E-01
   -0.2500  0.781791E-01    -0.126054E-01
   -0.3214  0.681945E-01    -0.998165E-02
   -0.3929  0.586532E-01    -0.770793E-02
   -0.4643  0.495737E-01    -0.576798E-02
   -0.5357  0.409742E-01    -0.414493E-02
   -0.6071  0.328741E-01    -0.282121E-02
   -0.6786  0.252951E-01    -0.177854E-02
   -0.7500  0.182649E-01    -0.997737E-03
   -0.8214  0.118237E-01    -0.458406E-03
   -0.8929  0.604279E-02    -0.138153E-03
   -0.9643  0.110972E-02    -0.994578E-05
   -1.0000   0.00000          0.00000    
