 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =    0.880702       Ave. chord =    0.431200
     CLsurf  =   0.27570     Clsurf  =  -0.05935
     CYsurf  =  -0.02344     Cmsurf  =  -0.19148
     CDsurf  =   0.00499     Cnsurf  =   0.00209
     CDisurf =   0.00499     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.55130     CDsurf  =   0.00993
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0727   0.6028   0.0879   0.3168   0.0496   0.5265   0.5255   0.0115   0.0000  -0.1530  -0.2833    0.542
     2   0.2180   0.5764   0.0841   0.3097   0.0427   0.5383   0.5373   0.0111   0.0000  -0.1540  -0.2873    0.538
     3   0.3633   0.5500   0.0802   0.3010   0.0386   0.5483   0.5473   0.0106   0.0000  -0.1544  -0.2902    0.533
     4   0.5087   0.5236   0.0764   0.2911   0.0356   0.5570   0.5559   0.0101   0.0000  -0.1547  -0.2926    0.529
     5   0.6540   0.4972   0.0725   0.2802   0.0332   0.5644   0.5634   0.0096   0.0000  -0.1548  -0.2946    0.526
     6   0.7994   0.4708   0.0687   0.2682   0.0312   0.5707   0.5697   0.0092   0.0000  -0.1549  -0.2962    0.523
     7   0.9447   0.4444   0.0648   0.2554   0.0297   0.5757   0.5746   0.0089   0.0000  -0.1549  -0.2975    0.521
     8   1.0900   0.4180   0.0610   0.2416   0.0285   0.5791   0.5780   0.0086   0.0000  -0.1549  -0.2983    0.519
     9   1.2354   0.3916   0.0571   0.2269   0.0279   0.5804   0.5793   0.0085   0.0000  -0.1547  -0.2985    0.518
    10   1.3807   0.3652   0.0533   0.2109   0.0281   0.5786   0.5776   0.0085   0.0000  -0.1544  -0.2977    0.518
    11   1.5260   0.3388   0.0494   0.1934   0.0294   0.5719   0.5708   0.0088   0.0000  -0.1538  -0.2955    0.520
    12   1.6714   0.3124   0.0456   0.1734   0.0329   0.5559   0.5548   0.0095   0.0000  -0.1526  -0.2902    0.526
    13   1.8167   0.2860   0.0417   0.1485   0.0411   0.5202   0.5193   0.0109   0.0000  -0.1493  -0.2781    0.539
    14   1.9621   0.2596   0.0379   0.1113   0.0640   0.4294   0.4286   0.0127   0.0000  -0.1364  -0.2426    0.569

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =    0.880702       Ave. chord =    0.431200
     CLsurf  =   0.27570     Clsurf  =   0.05935
     CYsurf  =   0.02344     Cmsurf  =  -0.19148
     CDsurf  =   0.00499     Cnsurf  =  -0.00209
     CDisurf =   0.00499     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.55130     CDsurf  =   0.00993
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.0727   0.6028   0.0879   0.3168   0.0496   0.5265   0.5255   0.0115   0.0000  -0.1530   0.2833    0.542
    16  -0.2180   0.5764   0.0841   0.3097   0.0427   0.5383   0.5373   0.0111   0.0000  -0.1540   0.2873    0.538
    17  -0.3633   0.5500   0.0802   0.3010   0.0386   0.5483   0.5473   0.0106   0.0000  -0.1544   0.2902    0.533
    18  -0.5087   0.5236   0.0764   0.2911   0.0356   0.5570   0.5559   0.0101   0.0000  -0.1547   0.2926    0.529
    19  -0.6540   0.4972   0.0725   0.2802   0.0332   0.5644   0.5634   0.0096   0.0000  -0.1548   0.2946    0.526
    20  -0.7994   0.4708   0.0687   0.2682   0.0312   0.5707   0.5697   0.0092   0.0000  -0.1549   0.2962    0.523
    21  -0.9447   0.4444   0.0648   0.2554   0.0297   0.5757   0.5746   0.0089   0.0000  -0.1549   0.2975    0.521
    22  -1.0900   0.4180   0.0610   0.2416   0.0285   0.5791   0.5780   0.0086   0.0000  -0.1549   0.2983    0.519
    23  -1.2354   0.3916   0.0571   0.2269   0.0279   0.5804   0.5793   0.0085   0.0000  -0.1547   0.2985    0.518
    24  -1.3807   0.3652   0.0533   0.2109   0.0281   0.5786   0.5776   0.0085   0.0000  -0.1544   0.2977    0.518
    25  -1.5260   0.3388   0.0494   0.1934   0.0294   0.5719   0.5708   0.0088   0.0000  -0.1538   0.2955    0.520
    26  -1.6714   0.3124   0.0456   0.1734   0.0329   0.5559   0.5548   0.0095   0.0000  -0.1526   0.2902    0.526
    27  -1.8167   0.2860   0.0417   0.1485   0.0411   0.5202   0.5193   0.0109   0.0000  -0.1493   0.2781    0.539
    28  -1.9621   0.2596   0.0379   0.1113   0.0640   0.4294   0.4286   0.0127   0.0000  -0.1364   0.2426    0.569
 ---------------------------------------------------------------
