  
       XFOIL         Version 6.99
  
 Calculated polar for: naca4412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0361   0.00713   0.00176  -0.1042   0.7835   0.0680
  -3.500   0.0928   0.00695   0.00156  -0.1041   0.7618   0.0826
  -3.000   0.1493   0.00683   0.00141  -0.1040   0.7375   0.1006
  -2.500   0.2057   0.00671   0.00129  -0.1039   0.7128   0.1248
  -2.000   0.2619   0.00663   0.00121  -0.1038   0.6861   0.1540
  -1.500   0.3183   0.00657   0.00116  -0.1038   0.6594   0.1883
  -1.000   0.3743   0.00654   0.00115  -0.1037   0.6324   0.2296
  -0.500   0.4303   0.00653   0.00116  -0.1036   0.6053   0.2768
   0.000   0.4863   0.00649   0.00120  -0.1035   0.5801   0.3374
   0.500   0.5415   0.00635   0.00127  -0.1034   0.5557   0.4528
   1.000   0.5958   0.00599   0.00141  -0.1032   0.5344   0.6657
   1.500   0.6460   0.00563   0.00159  -0.1018   0.5151   0.8778
   2.000   0.7124   0.00566   0.00171  -0.1037   0.4963   0.9998
   2.500   0.7669   0.00586   0.00183  -0.1033   0.4795   0.9998
   3.000   0.8216   0.00608   0.00197  -0.1030   0.4635   0.9998
   3.500   0.8764   0.00631   0.00214  -0.1027   0.4467   0.9998
   4.000   0.9306   0.00658   0.00233  -0.1023   0.4272   0.9998
   4.500   0.9848   0.00687   0.00253  -0.1019   0.4047   0.9998
   5.000   1.0377   0.00724   0.00279  -0.1013   0.3757   0.9998
   5.500   1.0894   0.00770   0.00310  -0.1006   0.3409   0.9998
   6.000   1.1387   0.00833   0.00352  -0.0994   0.2970   0.9998
   6.500   1.1855   0.00912   0.00406  -0.0979   0.2450   0.9998
   7.000   1.2292   0.01011   0.00475  -0.0959   0.1877   0.9998
   7.500   1.2707   0.01120   0.00555  -0.0935   0.1351   0.9998
   8.000   1.3115   0.01226   0.00638  -0.0911   0.0952   0.9998
   8.500   1.3521   0.01324   0.00721  -0.0886   0.0694   0.9998
   9.000   1.3914   0.01418   0.00807  -0.0859   0.0528   0.9998
   9.500   1.4265   0.01509   0.00894  -0.0824   0.0424   0.9998
  10.000   1.4599   0.01609   0.00992  -0.0788   0.0351   0.9998
  10.500   1.4928   0.01715   0.01100  -0.0753   0.0301   0.9998
  11.000   1.5237   0.01835   0.01223  -0.0718   0.0263   0.9998
  11.500   1.5511   0.01981   0.01371  -0.0680   0.0230   0.9998
  12.000   1.5797   0.02126   0.01524  -0.0647   0.0211   0.9998
  12.500   1.6019   0.02322   0.01726  -0.0609   0.0191   0.9998
  13.000   1.6266   0.02514   0.01927  -0.0579   0.0178   0.9998
  13.500   1.6431   0.02777   0.02199  -0.0545   0.0162   0.9998
  14.000   1.6608   0.03051   0.02484  -0.0516   0.0154   0.9998
  14.500   1.6761   0.03362   0.02807  -0.0491   0.0145   0.9998
  15.000   1.6848   0.03751   0.03207  -0.0468   0.0137   0.9998
  15.500   1.6850   0.04257   0.03729  -0.0448   0.0129   0.9998
  16.000   1.6919   0.04723   0.04210  -0.0436   0.0125   0.9998
  16.500   1.6947   0.05260   0.04763  -0.0429   0.0121   0.9998
  17.000   1.6929   0.05873   0.05391  -0.0427   0.0116   0.9998
  17.500   1.6844   0.06595   0.06129  -0.0430   0.0111   0.9998
  18.000   1.6655   0.07477   0.07029  -0.0440   0.0107   0.9998
  18.500   1.6439   0.08430   0.08003  -0.0457   0.0104   0.9998
  19.000   1.6299   0.09293   0.08885  -0.0475   0.0102   0.9998
  19.500   1.6122   0.10233   0.09844  -0.0500   0.0100   0.9998
  20.000   1.5923   0.11226   0.10856  -0.0531   0.0098   0.9998
