  
       XFOIL         Version 6.99
  
 Calculated polar for: root_airfoil_aero                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.253     Re =     7.005 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0335   0.00614   0.00135  -0.1053   0.5661   0.0715
  -3.500   0.0940   0.00608   0.00126  -0.1054   0.5456   0.0807
  -3.000   0.1542   0.00602   0.00119  -0.1054   0.5249   0.0939
  -2.500   0.2145   0.00596   0.00113  -0.1056   0.5064   0.1086
  -2.000   0.2748   0.00592   0.00110  -0.1057   0.4898   0.1241
  -1.500   0.3352   0.00590   0.00108  -0.1059   0.4748   0.1411
  -1.000   0.3954   0.00587   0.00107  -0.1061   0.4601   0.1635
  -0.500   0.4558   0.00585   0.00109  -0.1064   0.4491   0.1850
   0.000   0.5164   0.00583   0.00111  -0.1066   0.4387   0.2106
   0.500   0.5763   0.00585   0.00115  -0.1068   0.4254   0.2379
   1.000   0.6368   0.00584   0.00120  -0.1071   0.4172   0.2688
   1.500   0.6967   0.00586   0.00127  -0.1073   0.4054   0.3014
   2.000   0.7559   0.00592   0.00137  -0.1073   0.3898   0.3410
   2.500   0.8146   0.00599   0.00148  -0.1073   0.3727   0.3919
   3.000   0.8723   0.00598   0.00164  -0.1072   0.3539   0.4977
   3.500   0.9292   0.00607   0.00184  -0.1068   0.3313   0.5864
   4.000   0.9853   0.00624   0.00207  -0.1063   0.3058   0.6646
   4.500   1.0398   0.00646   0.00236  -0.1055   0.2771   0.7528
   5.000   1.0935   0.00666   0.00268  -0.1045   0.2502   0.8568
   5.500   1.1398   0.00691   0.00305  -0.1017   0.2212   0.9727
   6.000   1.1987   0.00744   0.00345  -0.1019   0.1905   0.9998
   6.500   1.2482   0.00804   0.00389  -0.1000   0.1602   0.9998
   7.000   1.2967   0.00867   0.00437  -0.0980   0.1330   0.9998
   7.500   1.3438   0.00931   0.00489  -0.0957   0.1097   0.9998
   8.000   1.3882   0.00997   0.00545  -0.0929   0.0902   0.9998
   8.500   1.4273   0.01068   0.00608  -0.0890   0.0746   0.9998
   9.000   1.4681   0.01139   0.00673  -0.0856   0.0631   0.9998
   9.500   1.5077   0.01219   0.00748  -0.0821   0.0538   0.9998
  10.000   1.5458   0.01309   0.00834  -0.0786   0.0453   0.9998
  10.500   1.5838   0.01403   0.00927  -0.0751   0.0397   0.9998
  11.000   1.6198   0.01511   0.01035  -0.0716   0.0347   0.9998
  11.500   1.6544   0.01634   0.01158  -0.0681   0.0308   0.9998
  12.000   1.6878   0.01769   0.01294  -0.0646   0.0280   0.9998
  12.500   1.7195   0.01924   0.01452  -0.0611   0.0253   0.9998
  13.000   1.7476   0.02108   0.01639  -0.0576   0.0228   0.9998
  13.500   1.7740   0.02316   0.01851  -0.0542   0.0212   0.9998
  14.000   1.7978   0.02553   0.02093  -0.0509   0.0195   0.9998
  14.500   1.8183   0.02834   0.02380  -0.0478   0.0181   0.9998
  15.000   1.8365   0.03147   0.02700  -0.0449   0.0167   0.9998
  15.500   1.8525   0.03503   0.03063  -0.0424   0.0159   0.9998
  16.000   1.8621   0.03928   0.03496  -0.0401   0.0148   0.9998
  16.500   1.8716   0.04376   0.03953  -0.0382   0.0141   0.9998
  17.000   1.8771   0.04878   0.04465  -0.0366   0.0135   0.9998
  17.500   1.8754   0.05468   0.05065  -0.0354   0.0128   0.9998
  18.000   1.8684   0.06129   0.05738  -0.0346   0.0120   0.9998
  18.500   1.8635   0.06781   0.06401  -0.0341   0.0117   0.9998
  19.000   1.8556   0.07482   0.07114  -0.0341   0.0114   0.9998
  19.500   1.8407   0.08271   0.07916  -0.0346   0.0110   0.9998
  20.000   1.8251   0.09086   0.08742  -0.0355   0.0106   0.9998
