#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00168  0.88613  0.013420  0.005184  0.000278     2.589
   0.00741  0.99293  0.00393  0.89252  0.012318  0.005017  0.000368     2.455
   0.01961  0.98129  0.00756  0.90606  0.010590  0.004695  0.000555     2.255
   0.03310  0.96838  0.01147  0.92410  0.008993  0.004320  0.000800     2.082
   0.04778  0.95430  0.01562  0.94619  0.007598  0.003921  0.001102     1.938
   0.06348  0.93920  0.01993  0.97103  0.006445  0.003536  0.001449     1.823
   0.07999  0.92328  0.02431  0.99690  0.005531  0.003188  0.001817     1.735
   0.09710  0.90674  0.02868  1.02236  0.004818  0.002888  0.002189     1.668
   0.11462  0.88976  0.03299  1.04653  0.004261  0.002634  0.002551     1.618
   0.13242  0.87246  0.03719  1.06888  0.003823  0.002420  0.002894     1.579
   0.15041  0.85494  0.04126  1.08933  0.003471  0.002239  0.003216     1.550
   0.16850  0.83727  0.04516  1.10802  0.003181  0.002084  0.003520     1.526
   0.18667  0.81949  0.04889  1.12494  0.002939  0.001950  0.003803     1.507
   0.20489  0.80162  0.05244  1.14035  0.002733  0.001832  0.004071     1.492
   0.22315  0.78367  0.05581  1.15416  0.002556  0.001728  0.004320     1.479
   0.24145  0.76565  0.05898  1.16662  0.002402  0.001635  0.004554     1.469
   0.25980  0.74755  0.06197  1.17754  0.002267  0.001553  0.004767     1.460
   0.27823  0.72933  0.06478  1.18679  0.002151  0.001480  0.004953     1.454
   0.29681  0.71094  0.06740  1.19407  0.002054  0.001416  0.005100     1.451
   0.31563  0.69228  0.06985  1.19741  0.001990  0.001369  0.005149     1.454
   0.33472  0.67333  0.07222  1.20296  0.001910  0.001313  0.005252     1.454
   0.35398  0.65422  0.07451  1.20978  0.001821  0.001253  0.005392     1.453
   0.37331  0.63500  0.07671  1.21709  0.001729  0.001192  0.005550     1.451
   0.39268  0.61575  0.07880  1.22485  0.001636  0.001130  0.005728     1.449
   0.41205  0.59648  0.08079  1.23273  0.001544  0.001068  0.005918     1.446
   0.43140  0.57722  0.08267  1.24073  0.001454  0.001007  0.006117     1.444
   0.45072  0.55799  0.08442  1.24885  0.001365  0.000946  0.006321     1.443
   0.46998  0.53879  0.08605  1.25688  0.001280  0.000886  0.006513     1.444
   0.48919  0.51965  0.08755  1.26485  0.001200  0.000828  0.006668     1.449
   0.50833  0.50055  0.08892  1.27258  0.001129  0.000771  0.006725     1.464
   0.52739  0.48153  0.09014  1.27995  0.001075  0.000718  0.006567     1.499
   0.54638  0.46257  0.09122  1.28712  0.001053  0.000668  0.005969     1.577
   0.56528  0.44370  0.09215  1.29523  0.001094  0.000623  0.004595     1.756
   0.58408  0.42491  0.09292  1.30985  0.001252  0.000577  0.002430     2.167
   0.60278  0.40622  0.09353  1.33840  0.001524  0.000516  0.000756     2.954
   0.62136  0.38764  0.09397  1.35037  0.001628  0.000490  0.000358     3.321
   0.63982  0.36918  0.09424  1.35650  0.001615  0.000477  0.000308     3.387
   0.65815  0.35086  0.09432  1.36371  0.001560  0.000462  0.000328     3.377
   0.67633  0.33268  0.09421  1.37158  0.001486  0.000446  0.000388     3.332
   0.69435  0.31466  0.09390  1.37998  0.001406  0.000430  0.000475     3.271
   0.71219  0.29683  0.09339  1.38881  0.001324  0.000413  0.000585     3.204
   0.72983  0.27921  0.09266  1.39796  0.001245  0.000397  0.000710     3.139
   0.74724  0.26182  0.09173  1.40734  0.001170  0.000380  0.000848     3.079
   0.76440  0.24470  0.09057  1.41688  0.001098  0.000363  0.000997     3.024
   0.78126  0.22790  0.08918  1.42648  0.001032  0.000347  0.001154     2.975
   0.79778  0.21145  0.08758  1.43613  0.000968  0.000330  0.001325     2.930
   0.81390  0.19544  0.08575  1.44570  0.000909  0.000314  0.001504     2.891
   0.82955  0.17992  0.08371  1.45521  0.000853  0.000299  0.001696     2.856
   0.84466  0.16497  0.08147  1.46451  0.000801  0.000283  0.001898     2.825
   0.85915  0.15069  0.07905  1.47364  0.000751  0.000268  0.002117     2.796
   0.87294  0.13714  0.07647  1.48241  0.000704  0.000254  0.002344     2.772
   0.88595  0.12441  0.07378  1.49089  0.000660  0.000240  0.002594     2.748
   0.89814  0.11254  0.07100  1.49891  0.000618  0.000227  0.002857     2.728
   0.90948  0.10157  0.06817  1.50650  0.000579  0.000214  0.003146     2.707
   0.91996  0.09148  0.06532  1.51344  0.000543  0.000202  0.003439     2.690
   0.92960  0.08227  0.06248  1.51996  0.000509  0.000190  0.003772     2.672
   0.93846  0.07387  0.05966  1.52579  0.000477  0.000180  0.004125     2.655
   0.94658  0.06624  0.05689  1.53092  0.000447  0.000169  0.004499     2.639
   0.95403  0.05930  0.05417  1.53541  0.000418  0.000160  0.004915     2.621
   0.96087  0.05300  0.05150  1.53902  0.000392  0.000151  0.005350     2.606
   0.96717  0.04727  0.04888  1.54186  0.000367  0.000142  0.005836     2.589
   0.97298  0.04205  0.04632  1.54376  0.000344  0.000134  0.006381     2.571
   0.97837  0.03729  0.04380  1.54437  0.000321  0.000126  0.006947     2.554
   0.98337  0.03294  0.04133  1.54374  0.000301  0.000118  0.007568     2.537
   0.98804  0.02896  0.03889  1.54168  0.000281  0.000111  0.008267     2.518
   0.99240  0.02532  0.03649  1.53770  0.000262  0.000105  0.009005     2.500
   0.99650  0.02199  0.03411  1.53167  0.000244  0.000098  0.009816     2.481
   1.00035  0.01894  0.03175  1.52314  0.000227  0.000092  0.010728     2.461
   1.00400  0.01615  0.02940  1.51130  0.000211  0.000086  0.011699     2.440
   1.00745  0.01362  0.02706  1.49554  0.000196  0.000081  0.012680     2.421
   1.01073  0.01131  0.02473  1.47552  0.000182  0.000076  0.013740     2.402
   1.01385  0.00923  0.02239  1.45010  0.000169  0.000071  0.014924     2.378
   1.01684  0.00737  0.02006  1.41761  0.000157  0.000067  0.015918     2.361
   1.01970  0.00573  0.01772  1.37812  0.000146  0.000063  0.017041     2.337
   1.02245  0.00429  0.01537  1.32934  0.000137  0.000059  0.017851     2.321
   1.02509  0.00307  0.01303  1.27162  0.000128  0.000056  0.018506     2.303
   1.02765  0.00206  0.01068  1.20377  0.000121  0.000053  0.018923     2.285
   1.03012  0.00125  0.00835  1.12511  0.000115  0.000051  0.018902     2.269
   1.03251  0.00065  0.00603  1.03677  0.000110  0.000049  0.018319     2.258
   1.03484  0.00025  0.00374  0.94089  0.000107  0.000048  0.017339     2.247
   1.03710  0.00004  0.00148  0.83866  0.000104  0.000047  0.015973     2.237
   1.03931  0.00001 -0.00072  0.73299  0.000103  0.000046  0.014124     2.236
   1.04155  0.00016 -0.00296  0.62293  0.000102  0.000046  0.012163     2.232
   1.04384  0.00050 -0.00522  0.50701  0.000102  0.000046  0.009983     2.228
   1.04619  0.00104 -0.00751  0.38622  0.000103  0.000046  0.007601     2.219
   1.04861  0.00181 -0.00981  0.26616  0.000105  0.000047  0.005052     2.233
   1.05110  0.00279 -0.01210  0.14728  0.000106  0.000048  0.002799     2.221
   1.05368  0.00399 -0.01437  0.03329  0.000115  0.000052  0.000580     2.230
   1.05634  0.00542 -0.01662 -0.07297  0.000115  0.000052  0.001270     2.230
   1.05910  0.00706 -0.01883 -0.17255  0.000124  0.000055  0.002752     2.245
   1.06197  0.00893 -0.02102 -0.26256  0.000130  0.000058  0.003988     2.239
   1.06496  0.01102 -0.02316 -0.34378  0.000140  0.000062  0.004805     2.257
   1.06810  0.01333 -0.02528 -0.41832  0.000147  0.000065  0.005591     2.251
   1.07138  0.01587 -0.02736 -0.48411  0.000158  0.000070  0.005858     2.276
   1.07484  0.01865 -0.02941 -0.54346  0.000168  0.000074  0.006242     2.271
   1.07848  0.02168 -0.03144 -0.59684  0.000180  0.000079  0.006304     2.287
   1.08235  0.02498 -0.03345 -0.64479  0.000191  0.000083  0.006364     2.292
   1.08645  0.02856 -0.03544 -0.68833  0.000204  0.000089  0.006324     2.301
   1.09082  0.03246 -0.03742 -0.72724  0.000218  0.000094  0.006180     2.313
   1.09549  0.03670 -0.03939 -0.76271  0.000232  0.000100  0.006056     2.319
   1.10051  0.04131 -0.04136 -0.79520  0.000247  0.000106  0.005884     2.327
   1.10591  0.04635 -0.04332 -0.82435  0.000264  0.000113  0.005640     2.339
   1.11176  0.05186 -0.04528 -0.85143  0.000280  0.000120  0.005460     2.344
   1.11810  0.05789 -0.04724 -0.87581  0.000300  0.000127  0.005190     2.357
   1.12501  0.06451 -0.04920 -0.89835  0.000319  0.000135  0.004973     2.363
   1.13254  0.07179 -0.05114 -0.91880  0.000340  0.000143  0.004715     2.374
   1.14077  0.07979 -0.05307 -0.93739  0.000363  0.000152  0.004465     2.384
   1.14977  0.08859 -0.05497 -0.95436  0.000387  0.000162  0.004226     2.392
   1.15962  0.09826 -0.05682 -0.96947  0.000414  0.000172  0.003970     2.404
   1.17035  0.10884 -0.05860 -0.98291  0.000442  0.000183  0.003728     2.415
   1.18200  0.12037 -0.06029 -0.99479  0.000472  0.000194  0.003498     2.425
   1.19457  0.13284 -0.06185 -1.00502  0.000504  0.000207  0.003269     2.437
   1.20804  0.14624 -0.06326 -1.01359  0.000538  0.000219  0.003047     2.450
   1.22234  0.16049 -0.06450 -1.02065  0.000573  0.000233  0.002839     2.463
   1.23741  0.17552 -0.06553 -1.02629  0.000611  0.000247  0.002644     2.476
   1.25314  0.19123 -0.06635 -1.03055  0.000650  0.000261  0.002456     2.491
   1.26946  0.20754 -0.06695 -1.03363  0.000690  0.000275  0.002285     2.505
   1.28628  0.22436 -0.06733 -1.03559  0.000732  0.000290  0.002121     2.521
   1.30353  0.24160 -0.06748 -1.03661  0.000775  0.000305  0.001971     2.537
   1.32113  0.25921 -0.06743 -1.03677  0.000819  0.000321  0.001830     2.554
   1.33905  0.27712 -0.06716 -1.03623  0.000865  0.000336  0.001699     2.572
   1.35724  0.29530 -0.06670 -1.03502  0.000912  0.000352  0.001575     2.591
   1.37566  0.31372 -0.06606 -1.03334  0.000959  0.000368  0.001464     2.609
   1.39429  0.33233 -0.06524 -1.03114  0.001009  0.000384  0.001356     2.630
   1.41311  0.35112 -0.06425 -1.02856  0.001060  0.000400  0.001255     2.651
   1.43210  0.37007 -0.06311 -1.02561  0.001113  0.000416  0.001161     2.674
   1.45123  0.38916 -0.06183 -1.02240  0.001167  0.000433  0.001073     2.697
   1.47050  0.40839 -0.06041 -1.01892  0.001223  0.000449  0.000988     2.722
   1.48990  0.42772 -0.05887 -1.01520  0.001281  0.000466  0.000908     2.750
   1.50941  0.44716 -0.05721 -1.01131  0.001342  0.000483  0.000832     2.779
